return_id,order_id,product_id,category,return_date,return_reason,refund_amount,country
RET1048,ORD100714,PRD1009,Jewellery,2023-12-04,Wrong size,25.56,Canada
RET1049,ORD100719,PRD1020,Watches,2022-04-23,Changed mind,412.66,United States
RET1050,ORD100773,PRD1024,Sunglasses,2023-09-10,Changed mind,76.03,United States
RET1051,ORD100774,PRD1025,Sunglasses,2023-12-22,Not as described,69.07,United Kingdom
RET1052,ORD100775,PRD1007,Bags,2022-06-23,Defective item,128.67,United Kingdom
RET1053,ORD100779,PRD1013,Jewellery,2023-05-06,Better price found,28.54,United Kingdom
RET1054,ORD100795,PRD1012,Jewellery,2024-09-29,Changed mind,157.31,Canada
RET1055,ORD100803,PRD1004,Bags,2022-12-08,Not as described,136.77,United States
RET1056,ORD100807,PRD1026,Sunglasses,2024-07-25,Defective item,148.49,United States
RET1057,ORD100815,PRD1006,Bags,2022-11-17,Changed mind,45.21,United States
RET1058,ORD100825,PRD1003,Bags,2023-06-28,Wrong size,87.9,United States
RET1059,ORD100844,PRD1020,Watches,2024-04-06,Defective item,412.66,Canada
RET1060,ORD100851,PRD1031,Belts,2022-11-15,Wrong size,24.77,United States
RET1061,ORD100855,PRD1002,Bags,2024-09-13,Wrong size,259.42,Canada
RET1062,ORD100873,PRD1016,Jewellery,2022-06-12,Not as described,23.57,United Kingdom
RET1063,ORD100873,PRD1013,Jewellery,2022-05-22,Changed mind,28.54,United Kingdom
RET1064,ORD100886,PRD1007,Bags,2022-07-19,Defective item,128.67,United States
RET1065,ORD100896,PRD1017,Watches,2024-09-09,Better price found,330.2,United States
RET1066,ORD100897,PRD1021,Watches,2024-05-08,Not as described,210.92,United States
RET1067,ORD100906,PRD1020,Watches,2023-11-12,Defective item,412.66,United Kingdom
RET1068,ORD100912,PRD1023,Sunglasses,2023-11-28,Better price found,120.94,Canada
RET1069,ORD100948,PRD1026,Sunglasses,2023-06-10,Defective item,148.49,United States
RET1070,ORD100951,PRD1003,Bags,2022-04-12,Defective item,87.9,United States
RET1071,ORD100952,PRD1018,Watches,2024-01-05,Wrong size,289.08,United States
RET1072,ORD100956,PRD1033,Belts,2022-06-16,Not as described,86.54,United States
RET1073,ORD100958,PRD1006,Bags,2024-10-07,Gift return,45.21,United States
RET1074,ORD100963,PRD1023,Sunglasses,2023-04-30,Changed mind,120.94,United States
RET1075,ORD100993,PRD1022,Watches,2022-12-20,Gift return,111.06,United States
RET1076,ORD101016,PRD1003,Bags,2024-08-17,Defective item,87.9,United States
RET1077,ORD101035,PRD1011,Jewellery,2022-12-15,Changed mind,79.96,Canada
RET1078,ORD101135,PRD1001,Bags,2022-05-09,Changed mind,148.0,United Kingdom
RET1079,ORD101146,PRD1027,Sunglasses,2022-01-26,Changed mind,35.64,United States
RET1080,ORD101149,PRD1007,Bags,2023-12-30,Not as described,128.67,United States
RET1081,ORD101167,PRD1013,Jewellery,2024-02-19,Defective item,28.54,United States
RET1082,ORD101169,PRD1018,Watches,2023-12-02,Not as described,289.08,United States
RET1083,ORD101172,PRD1032,Belts,2023-09-16,Changed mind,69.94,United States
RET1084,ORD101185,PRD1021,Watches,2024-03-11,Wrong size,210.92,United States
RET1085,ORD101187,PRD1024,Sunglasses,2023-07-04,Not as described,76.03,Canada
RET1086,ORD101209,PRD1009,Jewellery,2023-03-02,Better price found,25.56,United Kingdom
RET1087,ORD101210,PRD1027,Sunglasses,2023-01-06,Not as described,35.64,Canada
RET1088,ORD101218,PRD1001,Bags,2024-05-03,Wrong size,148.0,United Kingdom
RET1089,ORD101224,PRD1017,Watches,2022-12-21,Wrong size,330.2,United States
RET1090,ORD101235,PRD1023,Sunglasses,2023-06-14,Defective item,120.94,United Kingdom
RET1091,ORD101235,PRD1011,Jewellery,2023-06-18,Wrong size,79.96,United Kingdom
RET1092,ORD101255,PRD1022,Watches,2024-05-09,Changed mind,111.06,Canada
RET1093,ORD101278,PRD1011,Jewellery,2024-06-13,Wrong size,79.96,Australia
RET1094,ORD101279,PRD1008,Bags,2024-02-16,Changed mind,51.34,Canada
RET1095,ORD101283,PRD1001,Bags,2024-01-02,Wrong size,148.0,United States
RET1096,ORD101290,PRD1007,Bags,2023-03-01,Wrong size,128.67,United States
RET1097,ORD101300,PRD1005,Bags,2022-10-24,Defective item,50.66,Canada
RET1098,ORD101310,PRD1003,Bags,2024-10-04,Better price found,87.9,Canada
RET1099,ORD101333,PRD1017,Watches,2023-03-05,Not as described,330.2,United Kingdom
RET1100,ORD101334,PRD1022,Watches,2024-05-30,Wrong size,111.06,Australia
RET1101,ORD101369,PRD1026,Sunglasses,2023-03-06,Gift return,148.49,Canada
RET1102,ORD101370,PRD1006,Bags,2023-06-06,Changed mind,45.21,United States
RET1103,ORD101398,PRD1028,Scarves,2022-09-16,Wrong size,92.58,United States
RET1104,ORD101404,PRD1005,Bags,2022-02-22,Wrong size,50.66,United States
RET1105,ORD101415,PRD1006,Bags,2023-02-21,Defective item,45.21,United States
RET1106,ORD101432,PRD1032,Belts,2023-01-17,Wrong size,69.94,United States
RET1107,ORD101432,PRD1005,Bags,2023-01-16,Changed mind,50.66,United States
RET1108,ORD101460,PRD1017,Watches,2024-05-03,Wrong size,330.2,Australia
RET1109,ORD101461,PRD1007,Bags,2023-02-27,Better price found,128.67,Canada
RET1110,ORD101480,PRD1011,Jewellery,2023-11-01,Wrong size,79.96,United Kingdom
RET1111,ORD101481,PRD1014,Jewellery,2022-10-04,Gift return,109.25,Canada
RET1112,ORD101488,PRD1017,Watches,2023-03-21,Defective item,330.2,United States
RET1113,ORD101526,PRD1021,Watches,2024-03-26,Wrong size,210.92,United States
RET1114,ORD101542,PRD1019,Watches,2023-11-05,Defective item,394.01,United States
RET1115,ORD101543,PRD1012,Jewellery,2024-07-24,Changed mind,157.31,United States
RET1116,ORD101559,PRD1022,Watches,2022-11-18,Gift return,111.06,United States
RET1117,ORD101562,PRD1025,Sunglasses,2023-01-04,Changed mind,69.07,Canada
RET1118,ORD101574,PRD1027,Sunglasses,2022-10-16,Changed mind,35.64,Australia
RET1119,ORD101606,PRD1008,Bags,2022-12-31,Wrong size,51.34,United States
RET1120,ORD101606,PRD1017,Watches,2023-01-09,Changed mind,330.2,United States
RET1121,ORD101627,PRD1023,Sunglasses,2022-03-15,Better price found,120.94,United States
RET1122,ORD101639,PRD1015,Jewellery,2024-04-20,Wrong size,33.82,Australia
RET1123,ORD101679,PRD1004,Bags,2022-06-20,Changed mind,136.77,United States
RET1124,ORD101693,PRD1002,Bags,2024-03-20,Gift return,259.42,United Kingdom
RET1125,ORD101693,PRD1028,Scarves,2024-03-13,Gift return,92.58,United Kingdom
RET1126,ORD101720,PRD1005,Bags,2023-05-12,Wrong size,50.66,Australia
RET1127,ORD101728,PRD1033,Belts,2022-08-31,Defective item,86.54,United States
RET1128,ORD101737,PRD1018,Watches,2024-06-19,Changed mind,289.08,Australia
RET1129,ORD101762,PRD1018,Watches,2024-07-09,Wrong size,289.08,United States
RET1130,ORD101771,PRD1010,Jewellery,2024-01-05,Defective item,91.88,United States
RET1131,ORD101776,PRD1021,Watches,2024-08-09,Not as described,210.92,United States
RET1132,ORD101794,PRD1001,Bags,2024-04-17,Wrong size,148.0,United States
RET1133,ORD101801,PRD1010,Jewellery,2022-11-26,Defective item,91.88,United States
RET1134,ORD101815,PRD1016,Jewellery,2023-05-09,Wrong size,23.57,United States
RET1135,ORD101850,PRD1016,Jewellery,2024-01-09,Not as described,23.57,United Kingdom
RET1136,ORD101867,PRD1004,Bags,2022-09-02,Not as described,136.77,United States
RET1137,ORD101868,PRD1021,Watches,2023-08-31,Not as described,210.92,Canada
RET1138,ORD101880,PRD1024,Sunglasses,2022-06-05,Defective item,76.03,United Kingdom
RET1139,ORD101884,PRD1016,Jewellery,2024-10-27,Changed mind,23.57,United States
RET1140,ORD101891,PRD1006,Bags,2022-08-20,Changed mind,45.21,United States
RET1141,ORD101922,PRD1016,Jewellery,2023-11-20,Wrong size,23.57,United States
RET1142,ORD101940,PRD1016,Jewellery,2022-10-27,Defective item,23.57,Canada
RET1143,ORD101962,PRD1002,Bags,2023-11-09,Wrong size,259.42,United States
RET1144,ORD101975,PRD1005,Bags,2022-11-05,Changed mind,50.66,United States
RET1145,ORD101977,PRD1007,Bags,2022-11-23,Better price found,128.67,United States
RET1146,ORD101991,PRD1002,Bags,2023-06-15,Better price found,259.42,United Kingdom
RET1147,ORD101998,PRD1014,Jewellery,2022-03-07,Not as described,109.25,United States
RET1148,ORD102017,PRD1026,Sunglasses,2022-07-15,Wrong size,148.49,United Kingdom
RET1149,ORD102017,PRD1003,Bags,2022-07-06,Defective item,87.9,United Kingdom
RET1150,ORD102047,PRD1019,Watches,2022-12-31,Changed mind,394.01,Canada
RET1151,ORD102056,PRD1003,Bags,2023-07-09,Changed mind,87.9,United States
RET1152,ORD102070,PRD1001,Bags,2024-09-10,Not as described,148.0,United States
RET1153,ORD102070,PRD1007,Bags,2024-08-31,Defective item,128.67,United States
RET1154,ORD102083,PRD1022,Watches,2024-05-21,Not as described,111.06,Canada
RET1155,ORD102087,PRD1007,Bags,2022-11-08,Wrong size,128.67,United Kingdom
RET1156,ORD102113,PRD1024,Sunglasses,2022-02-23,Changed mind,76.03,United States
RET1157,ORD102130,PRD1020,Watches,2023-01-08,Defective item,412.66,United States
RET1158,ORD102142,PRD1011,Jewellery,2023-07-07,Wrong size,79.96,United States
RET1159,ORD102180,PRD1005,Bags,2023-03-09,Changed mind,50.66,United States
RET1160,ORD102190,PRD1010,Jewellery,2023-07-22,Wrong size,91.88,United Kingdom
RET1161,ORD102193,PRD1005,Bags,2023-11-06,Changed mind,50.66,Australia
RET1162,ORD102193,PRD1022,Watches,2023-11-07,Wrong size,111.06,Australia
RET1163,ORD102241,PRD1015,Jewellery,2023-07-15,Not as described,33.82,United Kingdom
RET1164,ORD102259,PRD1009,Jewellery,2023-11-13,Changed mind,25.56,United States
RET1165,ORD102284,PRD1010,Jewellery,2022-09-09,Not as described,91.88,United States
RET1166,ORD102289,PRD1008,Bags,2024-04-04,Wrong size,51.34,United States
RET1167,ORD102297,PRD1003,Bags,2024-03-10,Changed mind,87.9,United Kingdom
RET1168,ORD102302,PRD1027,Sunglasses,2022-12-03,Not as described,35.64,United States
RET1169,ORD102304,PRD1029,Scarves,2024-01-26,Gift return,113.0,United States
RET1170,ORD102310,PRD1024,Sunglasses,2023-06-23,Defective item,76.03,Australia
RET1171,ORD102323,PRD1008,Bags,2022-12-03,Defective item,51.34,United Kingdom
RET1172,ORD102331,PRD1001,Bags,2024-09-20,Better price found,148.0,United States
RET1173,ORD102344,PRD1001,Bags,2024-05-07,Changed mind,148.0,Canada
RET1174,ORD102368,PRD1027,Sunglasses,2023-12-08,Changed mind,35.64,Canada
RET1175,ORD102391,PRD1023,Sunglasses,2022-11-16,Not as described,120.94,United States
RET1176,ORD102476,PRD1027,Sunglasses,2024-07-28,Better price found,35.64,United States
RET1177,ORD102480,PRD1021,Watches,2024-02-18,Wrong size,210.92,United States
RET1178,ORD102483,PRD1028,Scarves,2023-03-23,Gift return,92.58,United States
RET1179,ORD102488,PRD1017,Watches,2023-05-27,Changed mind,330.2,United States
RET1180,ORD102503,PRD1031,Belts,2023-01-28,Gift return,24.77,United States
RET1181,ORD102508,PRD1023,Sunglasses,2023-08-24,Wrong size,120.94,United Kingdom
RET1182,ORD102509,PRD1021,Watches,2023-05-20,Gift return,210.92,United Kingdom
RET1183,ORD102519,PRD1020,Watches,2023-01-20,Gift return,412.66,Canada
RET1184,ORD102521,PRD1007,Bags,2022-06-03,Defective item,128.67,United Kingdom
RET1185,ORD102523,PRD1007,Bags,2024-06-19,Better price found,128.67,United Kingdom
RET1186,ORD102540,PRD1019,Watches,2023-12-16,Defective item,394.01,United Kingdom
RET1187,ORD102552,PRD1001,Bags,2024-02-17,Not as described,148.0,United Kingdom
RET1188,ORD102600,PRD1014,Jewellery,2022-03-08,Defective item,109.25,Australia
RET1189,ORD102611,PRD1020,Watches,2023-12-30,Changed mind,412.66,United States
RET1190,ORD102613,PRD1029,Scarves,2022-07-23,Not as described,113.0,Canada
RET1191,ORD102680,PRD1015,Jewellery,2024-06-22,Not as described,33.82,United Kingdom
RET1192,ORD102705,PRD1020,Watches,2023-02-28,Not as described,412.66,United Kingdom
RET1193,ORD102752,PRD1011,Jewellery,2022-12-24,Gift return,79.96,United States
RET1194,ORD102754,PRD1031,Belts,2023-03-10,Not as described,24.77,Canada
RET1195,ORD102763,PRD1005,Bags,2023-12-20,Changed mind,50.66,United States
RET1196,ORD102772,PRD1032,Belts,2022-12-27,Changed mind,69.94,United States
RET1197,ORD102776,PRD1007,Bags,2023-12-16,Changed mind,128.67,United Kingdom
RET1198,ORD102784,PRD1020,Watches,2023-12-24,Changed mind,412.66,United States
RET1199,ORD102787,PRD1020,Watches,2023-06-15,Wrong size,412.66,United States
RET1200,ORD102810,PRD1001,Bags,2023-12-20,Defective item,148.0,United Kingdom
RET1201,ORD102846,PRD1006,Bags,2024-06-26,Not as described,45.21,United Kingdom
RET1202,ORD102847,PRD1032,Belts,2022-02-11,Not as described,69.94,Australia
RET1203,ORD102852,PRD1009,Jewellery,2023-10-01,Changed mind,25.56,United Kingdom
RET1204,ORD102871,PRD1025,Sunglasses,2023-03-21,Changed mind,69.07,United States
RET1205,ORD102880,PRD1019,Watches,2023-05-20,Wrong size,394.01,Canada
RET1206,ORD102889,PRD1020,Watches,2024-07-27,Not as described,412.66,United States
RET1207,ORD102892,PRD1003,Bags,2024-05-23,Wrong size,87.9,United States
RET1208,ORD102900,PRD1004,Bags,2022-05-19,Better price found,136.77,United States
RET1209,ORD102933,PRD1032,Belts,2023-10-31,Not as described,69.94,United States
RET1210,ORD102970,PRD1002,Bags,2023-10-06,Changed mind,259.42,Canada
RET1211,ORD102971,PRD1010,Jewellery,2024-08-11,Not as described,91.88,United States
RET1212,ORD102972,PRD1006,Bags,2024-08-09,Wrong size,45.21,United Kingdom
RET1213,ORD102984,PRD1027,Sunglasses,2023-02-02,Changed mind,35.64,United States
RET1214,ORD102997,PRD1027,Sunglasses,2022-05-20,Changed mind,35.64,United States
RET1215,ORD103001,PRD1031,Belts,2023-09-19,Wrong size,24.77,United Kingdom
RET1216,ORD103003,PRD1024,Sunglasses,2024-07-29,Better price found,76.03,United Kingdom
RET1217,ORD103010,PRD1004,Bags,2022-07-11,Wrong size,136.77,United States
RET1218,ORD103013,PRD1029,Scarves,2022-02-03,Wrong size,113.0,United States
RET1219,ORD103035,PRD1019,Watches,2023-01-22,Defective item,394.01,United States
RET1220,ORD103072,PRD1019,Watches,2024-10-29,Defective item,394.01,United Kingdom
RET1221,ORD103074,PRD1017,Watches,2022-05-30,Changed mind,330.2,United States
RET1222,ORD103088,PRD1001,Bags,2022-12-06,Better price found,148.0,Canada
RET1223,ORD103097,PRD1031,Belts,2023-03-24,Better price found,24.77,Australia
RET1224,ORD103126,PRD1023,Sunglasses,2022-11-18,Changed mind,120.94,United States
RET1225,ORD103129,PRD1025,Sunglasses,2023-04-25,Wrong size,69.07,United States
RET1226,ORD103142,PRD1019,Watches,2022-03-10,Wrong size,394.01,United Kingdom
RET1227,ORD103147,PRD1003,Bags,2023-12-05,Better price found,87.9,United States
RET1228,ORD103150,PRD1019,Watches,2023-03-12,Gift return,394.01,United Kingdom
RET1229,ORD103169,PRD1021,Watches,2024-01-01,Better price found,210.92,United States
RET1230,ORD103171,PRD1027,Sunglasses,2023-12-16,Changed mind,35.64,Australia
RET1231,ORD103171,PRD1002,Bags,2024-01-04,Changed mind,259.42,Australia
RET1232,ORD103175,PRD1028,Scarves,2024-10-07,Not as described,92.58,United States
RET1233,ORD103222,PRD1008,Bags,2022-11-21,Better price found,51.34,United States
RET1234,ORD103234,PRD1022,Watches,2022-04-23,Defective item,111.06,Canada
RET1235,ORD103236,PRD1026,Sunglasses,2023-12-21,Better price found,148.49,United States
RET1236,ORD103259,PRD1033,Belts,2024-01-11,Changed mind,86.54,United States
RET1237,ORD103264,PRD1026,Sunglasses,2024-10-27,Better price found,148.49,United Kingdom
RET1238,ORD103267,PRD1001,Bags,2024-01-05,Not as described,148.0,Canada
RET1239,ORD103269,PRD1008,Bags,2023-05-12,Changed mind,51.34,United States
RET1240,ORD103270,PRD1004,Bags,2022-06-12,Wrong size,136.77,United States
RET1241,ORD103272,PRD1030,Scarves,2023-12-09,Better price found,106.99,United States
RET1242,ORD103290,PRD1005,Bags,2022-03-14,Wrong size,50.66,Australia
RET1243,ORD103335,PRD1011,Jewellery,2022-12-26,Changed mind,79.96,United States
RET1244,ORD103349,PRD1027,Sunglasses,2023-07-08,Not as described,35.64,United States
RET1245,ORD103358,PRD1002,Bags,2024-06-28,Not as described,259.42,United Kingdom
RET1246,ORD103369,PRD1002,Bags,2023-07-10,Changed mind,259.42,Canada
RET1247,ORD103379,PRD1024,Sunglasses,2024-05-02,Changed mind,76.03,Canada
RET1248,ORD103381,PRD1031,Belts,2022-09-19,Defective item,24.77,United States
RET1249,ORD103396,PRD1015,Jewellery,2022-11-13,Changed mind,33.82,Canada
RET1250,ORD103398,PRD1016,Jewellery,2024-10-21,Not as described,23.57,United Kingdom
RET1251,ORD103402,PRD1030,Scarves,2022-11-28,Wrong size,106.99,United States
RET1252,ORD103417,PRD1022,Watches,2023-07-16,Wrong size,111.06,Canada
RET1253,ORD103429,PRD1012,Jewellery,2022-03-09,Wrong size,157.31,United States
RET1254,ORD103450,PRD1004,Bags,2023-11-17,Wrong size,136.77,Australia
RET1255,ORD103462,PRD1010,Jewellery,2024-01-02,Gift return,91.88,United Kingdom
RET1256,ORD103463,PRD1006,Bags,2023-10-06,Not as described,45.21,Australia
RET1257,ORD103491,PRD1030,Scarves,2023-05-17,Wrong size,106.99,United Kingdom
RET1258,ORD103501,PRD1026,Sunglasses,2024-06-17,Changed mind,148.49,United States
RET1259,ORD103527,PRD1021,Watches,2022-12-02,Wrong size,210.92,United States
RET1260,ORD103543,PRD1005,Bags,2023-01-08,Not as described,50.66,United Kingdom
RET1261,ORD103544,PRD1004,Bags,2022-10-04,Not as described,136.77,United States
RET1262,ORD103545,PRD1002,Bags,2022-11-26,Wrong size,259.42,United Kingdom
RET1263,ORD103559,PRD1008,Bags,2024-01-17,Wrong size,51.34,United States
RET1264,ORD103565,PRD1013,Jewellery,2022-12-06,Defective item,28.54,United States
RET1265,ORD103572,PRD1023,Sunglasses,2022-11-20,Not as described,120.94,United States
RET1266,ORD103582,PRD1023,Sunglasses,2023-12-23,Defective item,120.94,United States
RET1267,ORD103593,PRD1023,Sunglasses,2023-04-06,Defective item,120.94,United Kingdom
RET1268,ORD103631,PRD1020,Watches,2023-10-26,Not as described,412.66,United States
RET1269,ORD103641,PRD1020,Watches,2022-10-19,Not as described,412.66,United States
RET1270,ORD103645,PRD1033,Belts,2023-02-28,Not as described,86.54,Canada
RET1271,ORD103699,PRD1030,Scarves,2023-12-08,Not as described,106.99,Australia
RET1272,ORD103713,PRD1022,Watches,2022-02-24,Changed mind,111.06,United States
RET1273,ORD103714,PRD1021,Watches,2024-04-04,Gift return,210.92,Australia
RET1274,ORD103732,PRD1017,Watches,2024-01-12,Not as described,330.2,United States
RET1275,ORD103735,PRD1003,Bags,2024-01-01,Defective item,87.9,United States
RET1276,ORD103748,PRD1011,Jewellery,2024-04-12,Changed mind,79.96,Canada
RET1277,ORD103751,PRD1009,Jewellery,2024-10-30,Defective item,25.56,United States
RET1278,ORD103764,PRD1002,Bags,2023-06-07,Defective item,259.42,United States
RET1279,ORD103800,PRD1004,Bags,2023-12-08,Defective item,136.77,United States
RET1280,ORD103802,PRD1014,Jewellery,2022-11-12,Defective item,109.25,United States
RET1281,ORD103806,PRD1005,Bags,2022-10-01,Wrong size,50.66,United States
RET1282,ORD103810,PRD1005,Bags,2023-03-24,Wrong size,50.66,United Kingdom
RET1283,ORD103841,PRD1028,Scarves,2024-10-06,Wrong size,92.58,Australia
RET1284,ORD103898,PRD1003,Bags,2023-03-08,Changed mind,87.9,United States
RET1285,ORD103925,PRD1017,Watches,2022-12-05,Changed mind,330.2,Australia
RET1286,ORD103929,PRD1027,Sunglasses,2022-12-06,Defective item,35.64,United States
RET1287,ORD103967,PRD1021,Watches,2022-11-16,Changed mind,210.92,United States
RET1288,ORD103985,PRD1017,Watches,2022-11-28,Changed mind,330.2,United States
RET1289,ORD104005,PRD1018,Watches,2023-12-07,Changed mind,289.08,Australia
RET1290,ORD104025,PRD1011,Jewellery,2023-07-04,Gift return,79.96,United States
RET1291,ORD104033,PRD1003,Bags,2024-01-19,Wrong size,87.9,United Kingdom
RET1292,ORD104062,PRD1029,Scarves,2024-06-07,Not as described,113.0,United States
RET1293,ORD104081,PRD1022,Watches,2022-04-10,Gift return,111.06,Australia
RET1294,ORD104102,PRD1005,Bags,2023-11-29,Wrong size,50.66,United States
RET1295,ORD104114,PRD1030,Scarves,2023-10-02,Changed mind,106.99,United States
RET1296,ORD104156,PRD1008,Bags,2023-09-10,Defective item,51.34,Australia
RET1297,ORD104177,PRD1007,Bags,2022-05-07,Not as described,128.67,United States
RET1298,ORD104186,PRD1028,Scarves,2024-05-27,Gift return,92.58,United States
RET1299,ORD104203,PRD1008,Bags,2024-10-24,Changed mind,51.34,United States
RET1300,ORD104205,PRD1007,Bags,2022-07-21,Gift return,128.67,United Kingdom
RET1301,ORD104212,PRD1009,Jewellery,2023-09-17,Defective item,25.56,Canada
RET1302,ORD104223,PRD1013,Jewellery,2022-03-16,Defective item,28.54,United States
RET1303,ORD104238,PRD1024,Sunglasses,2024-10-20,Changed mind,76.03,United Kingdom
RET1304,ORD104247,PRD1030,Scarves,2022-02-21,Not as described,106.99,Canada
RET1305,ORD104284,PRD1028,Scarves,2022-12-08,Better price found,92.58,Canada
RET1306,ORD104295,PRD1029,Scarves,2022-11-22,Not as described,113.0,Australia
RET1307,ORD104304,PRD1005,Bags,2024-08-29,Wrong size,50.66,United States
RET1308,ORD104309,PRD1022,Watches,2023-09-04,Wrong size,111.06,Australia
RET1309,ORD104320,PRD1007,Bags,2024-01-04,Changed mind,128.67,United States
RET1310,ORD104340,PRD1029,Scarves,2023-12-01,Not as described,113.0,Australia
RET1311,ORD104360,PRD1029,Scarves,2024-11-10,Changed mind,113.0,Canada
RET1312,ORD104361,PRD1027,Sunglasses,2023-12-25,Gift return,35.64,United Kingdom
RET1313,ORD104392,PRD1019,Watches,2023-08-22,Wrong size,394.01,Canada
RET1314,ORD104417,PRD1025,Sunglasses,2022-12-18,Changed mind,69.07,United States
RET1315,ORD104443,PRD1002,Bags,2024-02-10,Wrong size,259.42,United States
RET1316,ORD104526,PRD1024,Sunglasses,2024-10-24,Gift return,76.03,Canada
RET1317,ORD104546,PRD1030,Scarves,2022-03-23,Gift return,106.99,United States
RET1318,ORD104561,PRD1021,Watches,2022-06-16,Wrong size,210.92,Canada
RET1319,ORD104596,PRD1015,Jewellery,2024-01-08,Better price found,33.82,United States
RET1320,ORD104606,PRD1009,Jewellery,2023-11-27,Defective item,25.56,Australia
RET1321,ORD104620,PRD1031,Belts,2024-07-29,Defective item,24.77,Australia
RET1322,ORD104646,PRD1017,Watches,2023-10-28,Wrong size,330.2,United States
RET1323,ORD104681,PRD1005,Bags,2022-11-22,Changed mind,50.66,United States
RET1324,ORD104758,PRD1020,Watches,2022-03-06,Changed mind,412.66,Canada
RET1325,ORD104767,PRD1018,Watches,2022-02-27,Defective item,289.08,United States
RET1326,ORD104775,PRD1008,Bags,2022-06-05,Not as described,51.34,United States
RET1327,ORD104779,PRD1020,Watches,2023-01-13,Gift return,412.66,Australia
RET1328,ORD104791,PRD1012,Jewellery,2023-01-06,Changed mind,157.31,Australia
RET1329,ORD104801,PRD1030,Scarves,2023-09-18,Wrong size,106.99,United States
